"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"51","종합여행업","03_12_03_P","4520000","CDFI2260042016000002","2016-05-31","","03","폐업","03","폐업","2024-01-25","","","","","","","충청남도 아산시 배방읍 갈매리 405-8","충청남도 아산시 배방읍 갈매길39번길 40","31497","배방여행사","2024-01-25 16:59:27","U","2024-01-27 02:40:00","","207379.457108244","362234.856381753","종합여행업","","","0","","","서울보증보험(주)","근린생활시설","0","0","0","0","Baebang Tour","General travel business","0","0","","0","0","","0","66","","0","","","","","","","200000000","20180601","20190531","","66","",
"52","종합여행업","03_12_03_P","4520000","CDFI2260042018000001","2018-04-09","","03","폐업","03","폐업","2020-01-20","","","","","","","충청남도 아산시 온천동 87-5번지 피자헛","충청남도 아산시 온천대로 1502-3, 피자헛 2층 (온천동)","31514","여행메이커","2020-01-21 10:35:53","U","2020-01-23 02:40:00","","200353.036482849","364380.754829205","종합여행업","","","0","","","서울보증보험(주)","","0","0","0","0","Tour Maker","General travel business","0","0","","0","0","","0","0","","0","","","","","","","100000000","20180423","20190422","","0","",
"53","종합여행업","03_12_03_P","4520000","CDFI2260042018000002","2018-06-18","","03","폐업","03","폐업","2020-06-10","","","","","","","충청남도 아산시 음봉면 신수리 299-2번지","충청남도 아산시 음봉면 아산온천로243번길 68, 206호","31442","송 여행사","2020-06-10 15:55:54","U","2020-06-12 02:40:00","","198680.47829494","372828.98038552","종합여행업","","","0","","","한국여행업협회","","0","0","0","0","SONG TRAVEL SERVICE","General travel business","0","0","","0","0","","0","14","","0","","","","","","","103000000","20180618","20190617","","14","",
"54","종합여행업","03_12_03_P","4520000","CDFI2260042014000001","2014-07-04","","01","영업/정상","13","영업중","","","","","041-547-9300","","336-011","충청남도 아산시 온천동 1401-201번지","충청남도 아산시 시민로449번길 24 (온천동)","31508","자유국제여행사","2018-08-17 14:34:43","I","2018-08-31 23:59:59","","199859.792490473","365229.503132066","종합여행업","","상업지역","0","","","서울보증보험","근린생활시설","0","0","0","0","Freedom international Tour Co.,Ltd.","General travel business","0","0","","0","0","","0","231.9","","0","","","","","","","200000000","20180714","20190713","","232","",
"55","종합여행업","03_12_03_P","4520000","CDFI2260042015000001","2015-02-27","","01","영업/정상","13","영업중","","","","","041-567-7283","","336-857","충청남도 아산시 배방읍 장재리 1755번지","충청남도 아산시 배방읍 고속철대로 147, 8층 801호 (우성메디피아)","31470","(주)라비아","2018-09-27 09:25:26","U","2018-09-27 23:59:59","","209368.196517417","366233.883780475","종합여행업","","상업지역","0","","","서울보증","근린생활시설","8","0","0","0","Co.Ltd. Lavia","General travel business","0","0","","0","0","","0","16.8","","0","","","","","","","510000000","20180824","20190823","","17","",
"56","종합여행업","03_12_03_P","4520000","CDFI2260042016000003","2016-06-14","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 갈매리 509번지 배방자이1차아파트","충청남도 아산시 배방읍 호서로 458, 상가2동 101호 (배방자이1차아파트)","31495","(주)에너지메카","2019-07-03 09:44:21","U","2019-07-05 02:40:00","","207222.537253654","363232.686281022","종합여행업","","","0","","","서울보증보험(주)","사무실","0","0","0","0","Energy Mecca Co.,Ltd.","General travel business","0","0","","0","0","","0","0","","0","","","","","","","200000000","20190131","20200130","","0","",
"57","종합여행업","03_12_03_P","4520000","CDFI2260042019000001","2019-03-27","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 온천동 1401번지","충청남도 아산시 시민로449번길 24, 2층 (온천동)","31508","(주)라이투어","2020-06-04 17:45:34","U","2020-06-09 02:40:00","","199859.792490473","365229.503132066","종합여행업","","일반상업지역","2","","","","근린생활시설","2","0","0","0","RYE Tour Co.","General travel business","0","0","","0","0","","0","67.5","","0","","","","","","","200000000","","","","68","",
"58","종합여행업","03_12_03_P","4520000","CDFI2260042023000002","2023-08-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 용화동 913","충청남도 아산시 시민로208번길 23-5 (용화동)","31568","(주)굿모닝여행","2023-08-22 12:26:52","U","2023-08-24 02:40:00","","199557.663864764","362949.119103827","종합여행업","","","0","","","서울보증보험주식회사","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20230802","20240801","","0","",
"59","종합여행업","03_12_03_P","4520000","CDFI2260042019000002","2019-05-07","","01","영업/정상","13","영업중","","","","","041-417-0014","","","충청남도 아산시 배방읍 공수리 67-31 충남 사회적경제 유통지원센타","충청남도 아산시 배방읍 모산로 158-15, 충남 사회적경제 유통지원센타","31484","충남따숨상사협동조합","2021-02-10 19:18:38","U","2021-02-12 02:40:00","","205289.730137564","363663.753586402","종합여행업","","준주거지역","2","","","","근린생활시설","2","0","0","0","Chungnam ddasumsangsa cooperative","General travel business","0","0","","0","0","","0","128.25","","0","","","","","","","119700000","","","","128","",
"60","종합여행업","03_12_03_P","4520000","CDFI2260042024000003","2022-12-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 선장면 군덕리 50-1","충청남도 아산시 선장면 서부남로 48","31546","한베투어","2024-05-31 14:00:41","U","2024-06-02 02:40:00","","188011.91821975","365255.100870584","종합여행업","","","0","","","서울보증보험","","0","0","0","0","HANBE TOUR","Domestic and Overseas Travel Business","0","0","","0","0","","0","0","","0","","","","","","","0","20221214","20231213","","0","",
"61","종합여행업","03_12_03_P","4520000","CDFI2260042023000001","2023-02-08","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 온천동 93-2","충청남도 아산시 시장남길 25-1, 3층 (온천동)","31513","주식회사 케이투어","2023-02-08 14:04:23","I","2023-02-10 00:40:52","","200228.953818196","364606.516497998","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"62","종합여행업","03_12_03_P","4520000","CDFI2260042024000002","2024-01-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 도고면 신언리 174-10","충청남도 아산시 도고면 아산만로 214","31550","사회적협동조합 온어스","2024-01-30 13:25:43","I","2024-02-01 00:16:07","","188101.748610982","362357.277307483","종합여행업","","","0","","","SGI서울보증","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","84153128","20240129","20250128","","0","",
"63","종합여행업","03_12_03_P","4520000","CDFI2260042024000001","2024-01-24","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 용화동 1512 101호","충청남도 아산시 용화로12번길 16-8, 101호 (용화동)","31578","주식회사 산다고","2024-01-29 13:18:42","U","2024-01-31 02:40:00","","200935.173194536","363395.934011517","종합여행업","","","0","","","SGI서울보증","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","65770760","20240124","20250123","","0","",
"64","종합여행업","03_12_03_P","4520000","CDFI2260042021000001","2021-08-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 둔포면 둔포리 420-6","충청남도 아산시 둔포면 둔포면로 8, 1층","31403","(주)서원국제여행사","2021-10-03 11:33:45","U","2021-10-05 02:40:00","","203215.372390895","380669.749308375","종합여행업","","일반상업지역","0","","","서울보증","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20210902","20220901","","0","",
"65","종합여행업","03_12_03_P","4520000","CDFI2260042022000002","2022-09-21","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 인주면 공세리 26-9","충청남도 아산시 인주면 공세길 87","31427","하이코리아투어","2022-09-21 10:13:55","I","2022-09-23 00:22:25","","192534.687277332","375503.789256561","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"66","종합여행업","03_12_03_P","4520000","CDFI2260042022000001","2022-05-04","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 1339","충청남도 아산시 배방읍 용연동길70번길 1, 301호","31462","(주)와이에스컨셉","2022-05-04 20:32:51","I","2022-05-07 00:22:32","","208467.88820853","365735.478900084","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"67","종합여행업","03_12_03_P","4530000","CDFI2260042015000001","2015-04-07","","03","폐업","03","폐업","2020-03-31","","","","041-666-2579","","","충청남도 서산시 동문동 896-2번지","충청남도 서산시 시장1로 4-6 (동문동)","31981","주식회사 포시탑여행사","2020-03-27 09:03:34","U","2020-03-29 02:40:00","","151322.695388118","364622.399292565","종합여행업","","근린상업지역","3","기타","","","사무실","3","1","0","0","","","0","0","","0","0","","0","97.66","","0","","","","","","","200000000","","","","98","",
"68","종합여행업","03_12_03_P","4530000","CDFI2260042016000001","2016-11-04","","03","폐업","03","폐업","2018-05-24","","","","","","","충청남도 서산시 동문동 257-3번지","충청남도 서산시 중앙로 102 (동문동)","31991","(주)은지투어","2018-05-24 18:37:58","I","2018-08-31 23:59:59","","151784.221706384","364138.23288126","종합여행업","","","0","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","35","","0","","","","","","","150000000","","","","35","",
"69","종합여행업","03_12_03_P","4530000","CDFI2260042014000001","2014-07-01","","01","영업/정상","13","영업중","","","","","041-665-4818","","","충청남도 서산시 잠홍동 740-13","충청남도 서산시 청지천1길 25 (잠홍동)","32002","(합)백제관광","2022-03-03 17:23:57","U","2022-03-05 02:40:00","","152783.575012895","364379.832664115","종합여행업","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","72.84","","0","","","","","","","200000000","","","","73","",
"70","종합여행업","03_12_03_P","4530000","CDFI2260042022000001","2022-02-18","","01","영업/정상","13","영업중","","","","","041-669-9466","","","충청남도 서산시 읍내동 505-1","충청남도 서산시 안견로 15, 1층 102호 (읍내동)","31970","여행매니져","2022-02-18 13:03:26","I","2022-02-20 00:22:37","","150816.82431104","365082.124176007","종합여행업","","","1","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"71","종합여행업","03_12_03_P","4530000","CDFI2260042024000001","2024-01-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 서산시 예천동 1643","충청남도 서산시 예천9로 5-1, 4층 4102호 (예천동)","32005","(주)온투어","2024-01-19 09:48:39","I","2024-01-21 00:16:53","","150979.825618567","362958.103840334","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"72","종합여행업","03_12_03_P","4530000","CDFI2260042023000001","2023-12-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 서산시 동문동 308-1","충청남도 서산시 시장6로 32 (동문동)","31981","주식회사 서산여행사","2023-12-19 16:33:24","I","2023-12-21 00:17:03","","151554.420203085","364704.855956137","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","30","","0","","","","","","","100000000","","","","30","",
"73","종합여행업","03_12_03_P","4540000","CDFI2260042015000001","2014-09-23","","03","폐업","03","폐업","2020-08-19","","","","","","","충청남도 논산시 내동 73-5","충청남도 논산시 시민로 113, 2층 (내동)","32988","(주)세종항공여행사","2020-08-20 08:58:45","U","2020-08-22 02:40:00","","209086.848110861","297498.093022576","종합여행업","","","0","","","대전광역시관광협회","","0","0","0","0","","","0","0","","0","0","","0","75","","0","","","","","","","205000000","20180101","20181231","","75","",
"74","종합여행업","03_12_03_P","4540000","CDFI2260042018000001","2018-01-11","","01","영업/정상","13","영업중","","","","","","","","충청남도 논산시 반월동 92","충청남도 논산시 해월로167번길 8-5, 2층 (반월동)","32968","하나에듀글로벌","2022-06-08 10:29:01","U","2022-06-10 02:40:00","","207552.924684577","300604.406759564","종합여행업","","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","110000000","20191221","20201220","","0","",
"75","종합여행업","03_12_03_P","4540000","CDFI2260042018000002","2018-06-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 논산시 내동 624번지 1층","충청남도 논산시 중앙로 206 (내동)","32985","(주)신세계여행사","2020-01-09 10:41:58","U","2020-01-11 02:40:00","","209168.874662056","298453.186600745","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","194.4","","0","","","","","","","100000000","20190701","20200630","","194","",
"76","종합여행업","03_12_03_P","4550000","CDFI2260042018000001","2018-08-20","","03","폐업","03","폐업","2021-10-26","","","","070-7702-8408","","","충청남도 금산군 추부면 추정리 271-4 (주)리켐","충청남도 금산군 추부면 금산로 2423-16 (주)리켐","32715","리켐주식회사","2022-01-21 09:36:37","U","2022-01-23 02:40:00","","242257.93564995","297831.620534648","종합여행업","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","400.33","","0","","","","","","","0","","","","400","",
"77","종합여행업","03_12_03_P","4550000","CDFI2260042023000002","2023-05-08","","01","영업/정상","13","영업중","","","","","041-754-7770","","","충청남도 금산군 진산면 읍내리 202-2","충청남도 금산군 진산면 대둔산로 371","32704","금산시티투어 협동조합","2023-05-08 14:11:31","I","2023-05-10 00:19:55","","233119.277392407","293542.938051443","종합여행업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"78","종합여행업","03_12_03_P","4550000","CDFI2260042023000001","2023-04-11","","01","영업/정상","13","영업중","","","","","","","","충청남도 금산군 추부면 서대리 23-3","충청남도 금산군 추부면 서대동기길 81-14","32710","(주)인성리더쉽","2023-04-11 10:05:36","I","2023-04-13 00:20:18","","247139.102184261","302204.12512068","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"79","종합여행업","03_12_03_P","4570000","CDFI2260042013000001","2013-03-12","","01","영업/정상","13","영업중","","","","","041-835-0105","","","충청남도 부여군 부여읍 동남리 710-2번지","충청남도 부여군 부여읍 사비로 57","33153","동우관광 주식회사","2020-05-07 09:11:50","U","2020-05-09 02:40:00","","191866.63460268","308560.189310873","종합여행업","","일반상업지역","1","","","","사무실","1","1","0","0","","","0","0","","0","0","","0","191.05","","0","","","","","","","400000000","","","","191","",
"80","종합여행업","03_12_03_P","4570000","CDFI2260042014000001","2014-05-18","","01","영업/정상","13","영업중","","","","","","","323-805","충청남도 부여군 부여읍 구아리 327-7번지","충청남도 부여군 부여읍 부여로 12-1","33145","(주)글로벌여행사","2014-05-18 10:51:26","I","2018-08-31 23:59:59","","191864.205544586","308952.9007263","종합여행업","","상업지역","3","","","","사무실","3","0","0","0","","","0","0","","0","0","","0","18","","0","","","","","","","200000000","","","","18","",
"81","종합여행업","03_12_03_P","4570000","CDFI2260042018000001","2018-04-06","","01","영업/정상","13","영업중","","","","","","","","충청남도 부여군 부여읍 구교리 399번지","충청남도 부여군 부여읍 성왕로 169, 1동 1층","33141","스페셜여행사","2018-04-06 13:09:09","I","2018-08-31 23:59:59","","191607.38718993","308858.771111204","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100677696","","","","0","",
"82","종합여행업","03_12_03_P","4570000","CDFI2260042022000001","2022-04-04","","01","영업/정상","13","영업중","","","","","041-836-7767","","","충청남도 부여군 부여읍 정동리 1027-1","충청남도 부여군 부여읍 월함로 277","33127","부여관광문화학교협동조합","2022-04-04 11:31:32","I","2022-04-07 00:22:34","","194301.140671724","311483.584975296","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","330.5","","0","","","","","","","50000000","","","","331","",
"83","종합여행업","03_12_03_P","4570000","CDFI2260042023000001","2023-04-27","","01","영업/정상","13","영업중","","","","","041-837-8809","","","충청남도 부여군 부여읍 구아리 432","충청남도 부여군 부여읍 성왕로173번길 12, 2층 A4호","33141","(주)스카이배너","2023-04-27 15:34:33","I","2023-04-29 00:20:04","","191573.890696115","309015.641154794","종합여행업","","상업지역","2","기타","","","시장(재래시장)","2","0","0","0","","","0","0","","0","0","","0","44","","0","","","","","","","50000000","","","","44","",
"84","종합여행업","03_12_03_P","4570000","CDFI2260042018000002","2018-08-23","","01","영업/정상","13","영업중","","","","","0418330099","","","충청남도 부여군 부여읍 왕포리 37-1","충청남도 부여군 부여읍 왕중로 58","33164","라라투어영농조합법인","2022-08-17 14:53:09","U","2022-08-19 02:40:00","","192814.052446342","307351.061281671","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","40.6","","0","","","","","","","100000000","","","","41","",
"85","종합여행업","03_12_03_P","4580000","CDFI2260042022000001","2022-08-01","","01","영업/정상","13","영업중","","","","","041-956-4270","","","충청남도 서천군 장항읍 신창리 149-18","충청남도 서천군 장항읍 장항로 148-1, 2층","33669","지구촌여행사","2022-08-01 09:57:43","I","2022-08-03 00:22:29","","172338.798065723","279016.516748616","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"86","종합여행업","03_12_03_P","4580000","CDFI2260042019000001","2019-01-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 서천군 마서면 덕암리 243-4번지 신우서비스","충청남도 서천군 마서면 장서로 425, 신우서비스 1층","33655","통일해외관광(주)","2019-01-07 14:08:11","U","2019-01-09 02:40:00","","173341.105490117","282141.91211916","종합여행업","","주거지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","63","","0","","","","","","","236382608","","","","63","",
"87","종합여행업","03_12_03_P","4600000","CDFI2260042017000001","2017-11-14","","02","휴업","02","휴업","","2022-11-07","2023-11-06","","","","","충청남도 홍성군 홍성읍 월산리 838-5","충청남도 홍성군 홍성읍 월산로 48, 1층","32226","주식회사 대중투어","2022-11-08 08:45:06","U","2022-11-10 02:40:00","","168410.039312077","344192.039097223","종합여행업","","","1","","","","","1","0","0","0","","","0","0","","0","0","","0","49.58","","0","","","","","","","100000000","","","","50","",
"88","종합여행업","03_12_03_P","4600000","CDFI2260042021000001","2013-08-05","","03","폐업","03","폐업","2021-08-31","","","","","","","충청남도 홍성군 홍성읍 대교리 666","충청남도 홍성군 홍성읍 의사로72번길 26, 1층","32219","(주)콤파스프리","2021-09-02 10:52:27","U","2021-09-04 02:40:00","","170777.28255631","344708.990741771","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","COMPASSFREE Co., Ltd.","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","200000000","20200813","20210812","","0","",
"89","종합여행업","03_12_03_P","4600000","CDFI2260042013000001","2013-03-07","","01","영업/정상","13","영업중","","","","","","","350-831","충청남도 홍성군 홍북읍 신경리 745번지","충청남도 홍성군 홍북면 애향4길 22, 2층 201호","350-831","(주)중부그린여행사","2016-01-08 09:44:11","I","2018-08-31 23:59:59","","171757.643857691","350826.771023201","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","Namdo Green Care World Co. Ltd.","","0","0","","0","0","","0","0","","0","","","","","","","0","20150422","20160421","","0","",
"90","종합여행업","03_12_03_P","4600000","CDFI2260042023000002","2023-04-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍북읍 신경리 897 국제아르페온2차","충청남도 홍성군 홍북읍 충남대로 50, 국제아르페온2차 208-10호","32263","글로카크리에이트","2023-04-20 10:16:15","I","2023-04-21 00:20:20","","170996.859123806","350567.652985686","종합여행업","","","0","","","한국여행업협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20230403","20240402","","0","",
"91","종합여행업","03_12_03_P","4600000","CDFI2260042023000003","2023-04-20","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍북읍 신경리 897 국제아르페온2차 208-8호","충청남도 홍성군 홍북읍 충남대로 50, 국제아르페온2차","32263","유성기획","2023-12-04 14:16:53","U","2023-12-06 02:40:00","","170996.859123806","350567.652985686","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20230420","20240419","","0","",
"92","종합여행업","03_12_03_P","4600000","CDFI2260042018000001","2018-07-26","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍북읍 신경리 1370 한울마을 모아엘가 아파트 119동 201호","충청남도 홍성군 홍북읍 홍학로 88 (한울마을 모아엘가 아파트)","32271","여행봉다리","2023-11-28 11:36:20","U","2023-11-30 02:40:00","","170790.71867981","349486.83844868","종합여행업","","","1","","","서울보증보험","","1","0","0","0","","","0","0","","0","0","","0","400","","0","","","","","","","100000000","20230113","20240112","","400","",
"93","종합여행업","03_12_03_P","4600000","CDFI2260042023000004","2018-01-30","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍성읍 대교리 526","충청남도 홍성군 홍성읍 홍성천길 314","32221","내포여행사","2024-06-13 11:14:30","U","2024-06-15 02:40:00","","170456.809633491","344804.440582651","종합여행업","","","0","","","한국관광협회중앙회 관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20190802","20200802","","0","",
"94","종합여행업","03_12_03_P","4610000","CDFI2260042013000001","2013-01-10","","03","폐업","03","폐업","2017-02-16","","","","041-335-0079","","340-809","충청남도 예산군 예산읍 주교리 138-5번지","충청남도 예산군 예산읍 예산로 65","340-809","하나관광(합)","2017-02-17 16:47:34","I","2018-08-31 23:59:59","","185030.412093623","353381.217487077","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","500000000","","","","0","",
"95","종합여행업","03_12_03_P","4610000","CDFI2260042017000001","2017-01-02","","03","폐업","03","폐업","2020-06-22","","","","041-337-0005","","","충청남도 예산군 삽교읍 두리 803-226번지","충청남도 예산군 삽교읍 삽교로 73","32414","주식회사 역사문화여행","2020-06-22 15:14:11","U","2020-06-24 02:40:00","","176419.135994208","353931.99282355","종합여행업","","상업지역","1","기타","","서울보증보험주식회사","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","293","","0","","","","","","","100000000","20190103","20200102","","293","",
"96","종합여행업","03_12_03_P","4610000","CDFI2260042017000002","2017-12-29","","03","폐업","03","폐업","2020-05-19","","","","","","","충청남도 예산군 삽교읍 신가리 283-26번지","충청남도 예산군 삽교읍 삽교로 82","32414","(주)와이에이코리아","2020-05-20 09:58:17","U","2020-05-22 02:40:00","","176488.046993178","353895.266581636","종합여행업","","상업지역","1","","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","23.07","","0","","","","","","","100000000","","","","23","",
"97","종합여행업","03_12_03_P","4610000","CDFI2260042021000001","2021-09-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 예산읍 주교리 214-12","충청남도 예산군 예산읍 아리랑로 16-1, 2층","32431","가치기획","2021-09-28 16:52:29","I","2021-09-30 00:23:02","","","","종합여행업","","일반상업지역","0","","","","근린생활시설","2","1","0","0","","","0","0","","0","0","","0","89","","0","","","","","","","129178952","","","","89","",
"98","종합여행업","03_12_03_P","4610000","CDFI2260042018000001","2018-11-28","","01","영업/정상","13","영업중","","","","","07041227881","","","충청남도 예산군 예산읍 관작리 333-13번지","충청남도 예산군 예산읍 신례원로 14, 연암프라자","32423","주식회사 조그마한","2020-06-23 16:14:46","U","2020-06-25 02:40:00","","185006.986806739","356876.991840254","종합여행업","","근린상업지역","1","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","54.5","","0","","","","","","","100000000","20191206","20201205","","55","",
"99","종합여행업","03_12_03_P","4620000","CDFI2260042022000001","2022-05-27","","03","폐업","03","폐업","2022-09-23","","","","","","","충청남도 태안군 태안읍 남문리 702-14","충청남도 태안군 태안읍 군청7길 33, 102호","32144","투어712","2022-09-23 13:28:56","U","2022-09-25 02:40:00","","137733.441767018","360842.617238554","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"100","종합여행업","03_12_03_P","4620000","CDFI2260042017000001","2017-12-15","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 태안읍 동문리 523-9번지","충청남도 태안군 태안읍 중앙로 74","32143","미스텀 투어","2017-12-18 14:48:27","I","2018-08-31 23:59:59","","137169.296646566","361611.448446283","종합여행업","","일반상업지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","85.11","","0","","","","","","","100110016","","","","85","",
"101","종합여행업","03_12_03_P","4620000","CDFI2260042018000001","2018-06-18","","01","영업/정상","13","영업중","","","","","004106756886","","","충청남도 태안군 태안읍 남문리 715-11","충청남도 태안군 태안읍 군청8길 21-10","32144","바닐라레저앤마케팅(주)","2021-06-24 09:01:18","U","2021-06-26 02:40:00","","137422.778951108","360758.144859538","종합여행업","","일반주거지역","3","주택가주변","","","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","66","","0","","","","","","","100000000","","","","66","",
"102","종합여행업","03_12_03_P","4620000","CDFI2260042017000002","2017-03-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 태안읍 동문리 275-5","충청남도 태안군 태안읍 동백로 271, 2층","32143","교민여행사","2022-03-29 09:00:56","I","2022-03-30 00:22:34","","137456.907812769","361191.595715084","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"103","종합여행업","03_12_03_P","4620000","CDFI2260042022000004","2022-09-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 태안읍 남문리 695-3","충청남도 태안군 태안읍 군청로 7","32144","클락풀빌라연합","2022-09-02 15:30:14","I","2022-09-04 00:22:26","","137327.338757768","360831.813269568","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"104","종합여행업","03_12_03_P","4620000","CDFI2260042022000003","2022-07-08","","01","영업/정상","13","영업중","","","","","041-675-1009","","","충청남도 태안군 태안읍 남문리 703-2","충청남도 태안군 태안읍 군청로 24, 2층","32144","주식회사 엘케이","2022-07-08 16:52:05","I","2022-07-12 00:22:29","","137432.497184297","360951.037671846","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"105","종합여행업","03_12_03_P","4620000","CDFI2260042022000002","2022-06-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 신온리 833-246","충청남도 태안군 남면 곰섬로 236-49, 2층","32158","지역발전네트워크협동조합","2022-08-05 17:45:20","U","2022-08-07 02:40:00","","136707.410805739","343962.090593234","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"106","종합여행업","03_12_03_P","5580000","CDFI2260042018000002","2018-05-16","","01","영업/정상","13","영업중","","","","","042-841-1916","","","충청남도 계룡시 신도안면 남선리 1272","충청남도 계룡시 신도안면 신도안1길 61, 계룡대문화센터 1층","32801","주식회사 해피투어","2022-02-07 17:07:07","U","2022-02-09 02:40:00","","221934.456107308","310705.07207623","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","","","","0","",
