순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
274,충청남도,태안군,롱비치패밀리호텔,충남 태안군 만리포2길 120-0,숙박,호텔,2025
275,충청남도,태안군,리츠캐슬리조트,충남 태안군 마도길 188-8,숙박,콘도미니엄,2023
276,충청남도,태안군,하늘에펜션,충남 태안군 가경주길 23-8,숙박,펜션/민박,2019
277,충청남도,공주시,초이한옥호텔,충남 공주시 미나리1길 10-3,숙박,모텔,2017
278,충청남도,천안시 동남구,호두나무캠핑장,충남 천안시 동남구 해사동길 15-0,숙박,캠핑,2016
279,충청남도,당진시,당진관광호텔,충남 당진시 반촌로 192-0,숙박,호텔,2008
280,충청남도,서산시,노벰버호텔,충남 서산시 읍내2로 17-0,숙박,모텔,2001
281,충청남도,천안시 서북구,천안NU호텔,충남 천안시 서북구 양지8길 6-0,숙박,모텔,2000
282,충청남도,태안군,동작휴스테이,충남 태안군 중신로 343-0,숙박,기타숙박,1998
283,충청남도,천안시 서북구,감성호텔온화,충남 천안시 서북구 양지9길 14-0,숙박,모텔,1989
284,충청남도,서산시,호텔24st프리스티지,충남 서산시 읍내1로 24-0,숙박,호텔,1988
285,충청남도,천안시 동남구,호텔캄캄,충남 천안시 동남구 신부2길 31-0,숙박,호텔,1985
285,충청남도,예산군,팜앤투어캠핑장,충남 예산군 시목1길 70-41,숙박,캠핑,1985
287,충청남도,당진시,호텔아이반,충남 당진시 한진포구길 30-30,숙박,모텔,1984
288,충청남도,아산시,레드하우스,충남 아산시 아산온천로157번길 25-0,숙박,모텔,1981
289,충청남도,태안군,아리바다펜션,충남 태안군 청포대길 57-58,숙박,펜션/민박,1974
290,충청남도,천안시 동남구,광덕산간이캠핑장,충남 천안시 동남구 광풍로 703-38,숙박,캠핑,1973
291,충청남도,천안시 서북구,모노리스호텔,충남 천안시 서북구 성정공원5로 53-0,숙박,모텔,1968
292,충청남도,당진시,CF모텔,충남 당진시 유곡8길 8-0,숙박,모텔,1967
293,충청남도,당진시,S무인텔,충남 당진시 시청2로 47-0,숙박,모텔,1964
294,충청남도,천안시 서북구,시크릿모텔,충남 천안시 서북구 성정공원7길 28-0,숙박,모텔,1959
295,충청남도,논산시,마운틴모텔,충남 논산시 해월로 226-1,숙박,모텔,1958
296,충청남도,공주시,블랙펄호텔,충남 공주시 전막2길 13-0,숙박,모텔,1956
297,충청남도,아산시,래미안모텔,충남 아산시 둔포중앙로 125-1,숙박,모텔,1949
298,충청남도,공주시,공주잉크관광호텔,충남 공주시 전막2길 10-10,숙박,호텔,1948
298,충청남도,아산시,크리스탈모텔,충남 아산시 아산온천로157번길 7-9,숙박,모텔,1948
298,충청남도,공주시,베스트필드,충남 공주시 동학사1로 65-0,숙박,캠핑,1948
301,충청남도,공주시,계룡산자동차야영장,충남 공주시 동학사2로 115-16,숙박,캠핑,1940
302,충청남도,태안군,청산리오토캠핑장,충남 태안군 청산길 279-0,숙박,캠핑,1917
303,충청남도,천안시 동남구,천안몽각산힐링뷰캠핑장,충남 천안시 동남구 덕성1길 147-0,숙박,캠핑,1914
303,충청남도,홍성군,카네기모텔,충남 홍성군 조양로205번길 38-0,숙박,모텔,1914
305,충청남도,태안군,몽산포오토캠핑장2구역,충남 태안군,숙박,캠핑,1906
306,충청남도,공주시,호텔스테이오늘공주점,충남 공주시 전막2길 16-4,숙박,모텔,1903
307,충청남도,서천군,서천국민여가캠핑장,충남 서천군 장산로 856-0,숙박,캠핑,1901
308,충청남도,서산시,저스트스테이호텔서산호수공원점,충남 서산시 동헌로 89-0,숙박,호텔,1892
309,충청남도,서산시,대산비즈니스호텔집,충남 서산시 충의로 1975-0,숙박,호텔,1883
309,충청남도,태안군,태안머드오토캠핑,충남 태안군 진산1길 277-111,숙박,캠핑,1883
311,충청남도,공주시,로뎀나무펜션,충남 공주시 석봉길 38-3,숙박,펜션/민박,1879
312,충청남도,공주시,수모텔,충남 공주시 전막3길 6-0,숙박,모텔,1877
313,충청남도,당진시,짬호텔,충남 당진시 부곡공단로 68-20,숙박,모텔,1875
314,충청남도,태안군,신두리5초펜션,충남 태안군 신두해변길 97-0,숙박,펜션/민박,1871
315,충청남도,서산시,모던호텔,충남 서산시 충의로 1989-0,숙박,모텔,1866
316,충청남도,논산시,연산황산벌오토캠핑장,충남 논산시 신신양로 187-8,숙박,캠핑,1855
317,충청남도,보령시,해씨유캠핑장,충남 보령시 원산도7길 117-20,숙박,캠핑,1853
318,충청남도,예산군,에이투호텔디자이너스,충남 예산군 온천단지1로 67-0,숙박,모텔,1842
319,충청남도,천안시 서북구,스위트호텔,충남 천안시 서북구 양지17길 5-0,숙박,모텔,1828
320,충청남도,금산군,스테이인터뷰금산,충남 금산군 휴양림로 2423-0,숙박,펜션/민박,1826
321,충청남도,보령시,호텔마스타대천,충남 보령시 대해로 876-0,숙박,호텔,1825
322,충청남도,보령시,머드비치호텔,충남 보령시 해수욕장8길 14-0,숙박,호텔,1821
323,충청남도,보령시,파인모텔,충남 보령시 해수욕장2길 9-0,숙박,모텔,1819
324,충청남도,천안시 서북구,굿모닝호텔,충남 천안시 서북구 차돌들길 11-5,숙박,모텔,1816
325,충청남도,금산군,적벽강오토캠핑장,충남 금산군,숙박,캠핑,1803
326,충청남도,서산시,백악관모텔,충남 서산시 동헌로 99-0,숙박,모텔,1799
327,충청남도,천안시 서북구,피카소호텔,충남 천안시 서북구 성정공원4길 13-0,숙박,모텔,1798
328,충청남도,서산시,자자호텔,충남 서산시 구진천로 10-9,숙박,모텔,1794
329,충청남도,천안시 서북구,머무르다,충남 천안시 서북구 차돌들길 11-2,숙박,호텔,1793
329,충청남도,태안군,백리포바다와파도소리,충남 태안군 백리포길 39-4,숙박,펜션/민박,1793
331,충청남도,논산시,논산1박2일펜션,충남 논산시 왕릉로 96-5,숙박,펜션/민박,1788
332,충청남도,논산시,라온빌리지펜션,충남 논산시 동안로1113번길 40-0,숙박,펜션/민박,1777
333,충청남도,예산군,예당관광지국민여가캠핑장,충남 예산군 예당관광로 123-0,숙박,캠핑,1771
334,충청남도,논산시,대둔산빌리지펜션,충남 논산시 수락계곡길 58-0,숙박,펜션/민박,1761
335,충청남도,태안군,태안노을숲캠핑장,충남 태안군 마검포길 311-42,숙박,캠핑,1755
336,충청남도,논산시,연산나그네캠핑장,충남 논산시 선비로866번길 166-4,숙박,캠핑,1754
337,충청남도,예산군,가루실파크,충남 예산군 가루실길 182-0,숙박,모텔,1751
337,충청남도,태안군,동문모텔,충남 태안군 동문1길 59-0,숙박,모텔,1751
339,충청남도,아산시,산장모텔,충남 아산시 현대로 434-0,숙박,모텔,1748
340,충청남도,예산군,수덕캠핑장,충남 예산군 노곡길 15-0,숙박,캠핑,1747
341,충청남도,서산시,알레호텔,충남 서산시 잠동4길 10-0,숙박,모텔,1744
342,충청남도,천안시 서북구,카라모텔,충남 천안시 서북구 천흥1길 7-0,숙박,모텔,1740
343,충청남도,아산시,파라다이스,충남 아산시 아산온천로157번길 7-7,숙박,모텔,1738
344,충청남도,공주시,산너머남촌에는펜션,충남 공주시 동학사2로 36-0,숙박,펜션/민박,1735
345,충청남도,태안군,드르니오션리조트,충남 태안군 드르니길 53-0,숙박,펜션/민박,1734
346,충청남도,태안군,오션비치모텔,충남 태안군 방포1길 40-4,숙박,모텔,1729
346,충청남도,논산시,조선호텔,충남 논산시 관촉로285번길 9-0,숙박,모텔,1729
348,충청남도,공주시,바운스캠프공주점,충남 공주시 검상안길 43-18,숙박,캠핑,1725
349,충청남도,서산시,바다정원펜션,충남 서산시 호리영살길 124-4,숙박,펜션/민박,1723
350,충청남도,태안군,서해땅끝파도리아치내캠핑장,충남 태안군 아치내길 216-0,숙박,캠핑,1713
351,충청남도,보령시,원산도해수욕장소록도야영지,충남 보령시 원산도4길 48-37,숙박,캠핑,1711
352,충청남도,공주시,솔향펜션,충남 공주시 동월1길 268-6,숙박,펜션/민박,1710
353,충청남도,태안군,엘렌리조트,충남 태안군 방죽길 118-0,숙박,콘도미니엄,1708
354,충청남도,천안시 동남구,프라임호텔,충남 천안시 동남구 신부2길 36-0,숙박,모텔,1701
355,충청남도,당진시,리모텔,충남 당진시 계성3길 19-11,숙박,모텔,1700
356,충청남도,홍성군,굄성캠핑장,충남 홍성군,숙박,캠핑,1699
357,충청남도,부여군,내안의숲오토캠핑장,충남 부여군 차동로30번길 30-42,숙박,캠핑,1695
357,충청남도,예산군,예산명품무인호텔,충남 예산군 신촌길 4-21,숙박,모텔,1695
359,충청남도,보령시,너울펜션,충남 보령시 해수욕장13길 10-26,숙박,펜션/민박,1692
360,충청남도,태안군,태안더클래식펜션,충남 태안군 청포대길 57-60,숙박,펜션/민박,1683
361,충청남도,천안시 서북구,칼튼모텔,충남 천안시 서북구 양지10길 30-0,숙박,모텔,1682
362,충청남도,공주시,저스트스테이호텔공주신관점,충남 공주시 번영1로 18-6,숙박,호텔,1681
363,충청남도,서산시,호텔더마린,충남 서산시 동헌로 91-1,숙박,모텔,1678
364,충청남도,홍성군,듀오무인텔,충남 홍성군 갈산로 207-0,숙박,모텔,1677
365,충청남도,태안군,달이머무는바다,충남 태안군 황도로 611-3,숙박,펜션/민박,1675
366,충청남도,공주시,에이치모텔,충남 공주시 금벽로 543-0,숙박,모텔,1672
367,충청남도,당진시,꿈의궁전모텔,충남 당진시 반촌로 50-0,숙박,모텔,1667
368,충청남도,태안군,하늬바람펜션,충남 태안군 진산2길 195-0,숙박,펜션/민박,1662
368,충청남도,공주시,더쉼펜션,충남 공주시 동학사1로 242-0,숙박,펜션/민박,1662
370,충청남도,아산시,호텔에이엠,충남 아산시 번영로69번길 27-0,숙박,호텔,1659
371,충청남도,천안시 서북구,MI호텔,충남 천안시 서북구 불당33길 31-0,숙박,모텔,1658
371,충청남도,아산시,배방관광농원캠핑,충남 아산시 솔치로 17-31,숙박,캠핑,1658
373,충청남도,태안군,푸른바다와금빛해변펜션,충남 태안군 만리포2길 235-5,숙박,펜션/민박,1654
374,충청남도,부여군,명진모텔,충남 부여군 성왕로 296-0,숙박,모텔,1653
375,충청남도,천안시 동남구,그린힐모텔,충남 천안시 동남구 목천안터2길 7-0,숙박,모텔,1652
376,충청남도,공주시,계룡산갑사유스호스텔,충남 공주시 갑사로 458-4,숙박,호스텔,1648
377,충청남도,홍성군,남당힐펜션,충남 홍성군 남당항로140번길 75-41,숙박,펜션/민박,1645
378,충청남도,예산군,덕산테라스무인텔,충남 예산군 온천단지1로 20-9,숙박,모텔,1639
378,충청남도,태안군,태안바다비펜션,충남 태안군 편교동길 122-0,숙박,펜션/민박,1639
380,충청남도,계룡시,본호텔,충남 계룡시 서금암2길 13-4,숙박,모텔,1638
381,충청남도,예산군,라스베가스모텔,충남 예산군 충령사로 17-5,숙박,모텔,1626
382,충청남도,당진시,S모텔,충남 당진시 북부산업로 714-2,숙박,모텔,1623
383,충청남도,금산군,금산인삼골오토캠핑장,충남 금산군 달고개길 114-30,숙박,캠핑,1619
384,충청남도,계룡시,품안콘도,충남 계룡시,숙박,콘도미니엄,1615
384,충청남도,태안군,샤론펜션,충남 태안군 청포대길 102-0,숙박,펜션/민박,1615
386,충청남도,당진시,파인스톤빌리지,충남 당진시 무수들길 100-0,숙박,콘도미니엄,1611
387,충청남도,천안시 동남구,삼방723펜션,충남 천안시 동남구 삼방로 723-0,숙박,펜션/민박,1610
387,충청남도,공주시,포레스트스테이,충남 공주시 천장이길 12-0,숙박,펜션/민박,1610
389,충청남도,공주시,더존펜션,충남 공주시 천장이길 8-0,숙박,펜션/민박,1609
390,충청남도,보령시,하늘정원펜션,충남 보령시 통나무마을3길 14-0,숙박,펜션/민박,1606
391,충청남도,태안군,레피다리조트,충남 태안군 태포길 266-0,숙박,콘도미니엄,1605
392,충청남도,천안시 동남구,천안프렌즈애견풀빌라빌리지,충남 천안시 동남구 삼방로 911-3,숙박,펜션/민박,1601
393,충청남도,청양군,청양?무인텔,충남 청양군 안심길 16-0,숙박,모텔,1593
394,충청남도,천안시 동남구,블루파크,충남 천안시 동남구 만남의길 8-2,숙박,모텔,1589
395,충청남도,태안군,바다힐링,충남 태안군 만수길 55-6,숙박,펜션/민박,1586
396,충청남도,아산시,피렌체무인텔,충남 아산시 아산온천로157번길 15-13,숙박,모텔,1585
397,충청남도,보령시,피터팬펜션,충남 보령시 해수욕장13길 10-21,숙박,펜션/민박,1580
397,충청남도,예산군,디에이치펜션,충남 예산군 예당로 1127-0,숙박,펜션/민박,1580
397,충청남도,태안군,수선화펜션,충남 태안군 마검포길 176-15,숙박,펜션/민박,1580
400,충청남도,당진시,아잘리아그린캠핑장,충남 당진시 대호나루터길 105-75,숙박,캠핑,1579
401,충청남도,홍성군,에이치모텔,충남 홍성군 충서로 1666-0,숙박,모텔,1568
402,충청남도,금산군,산꽃벚꽃마을오토캠핑장,충남 금산군 자진뱅이길 39-0,숙박,캠핑,1562
403,충청남도,태안군,풀빌라아마레,충남 태안군 풍어제길 44-47,숙박,펜션/민박,1554
404,충청남도,천안시 동남구,메이플무인텔,충남 천안시 동남구 청수11로 36-0,숙박,모텔,1547
405,충청남도,태안군,오션힐리조트,충남 태안군 곰섬로 430-37,숙박,펜션/민박,1546
406,충청남도,서산시,필모텔,충남 서산시 동헌로 119-0,숙박,모텔,1542
407,충청남도,태안군,연포해수욕장제1야영장,충남 태안군,숙박,캠핑,1540
408,충청남도,태안군,올레유캠핑장,충남 태안군 동해길 201-0,숙박,캠핑,1527
409,충청남도,보령시,골든로즈펜션,충남 보령시 고잠2길 16-5,숙박,펜션/민박,1524
410,충청남도,당진시,a호텔,충남 당진시 부곡공단로 68-16,숙박,모텔,1518
411,충청남도,서산시,폰타나리조트,충남 서산시 팔봉2로 29-0,숙박,콘도미니엄,1516
412,충청남도,서산시,파티앤카라반,충남 서산시 천수만로 658-34,숙박,펜션/민박,1514
413,충청남도,천안시 동남구,엠파이어모텔,충남 천안시 동남구 각원사길 187-14,숙박,모텔,1512
413,충청남도,태안군,제이드리조텔,충남 태안군 신진도길 69-0,숙박,콘도미니엄,1512
415,충청남도,당진시,하이힐모텔,충남 당진시 반촌로 153-0,숙박,모텔,1508
416,충청남도,태안군,소소펜션,충남 태안군 안면대로 1296-36,숙박,펜션/민박,1505
417,충청남도,당진시,삽교호비치파크모텔,충남 당진시 삽교천2길 35-0,숙박,모텔,1504
418,충청남도,태안군,두바다찬솔,충남 태안군 월고지길 8-58,숙박,펜션/민박,1499
418,충청남도,천안시 동남구,원플러스호텔,충남 천안시 동남구 충절로 902-0,숙박,호텔,1499
420,충청남도,아산시,소풍,충남 아산시 아산로 760-0,숙박,모텔,1489
420,충청남도,당진시,동원모텔,충남 당진시 반촌로 52-0,숙박,모텔,1489
422,충청남도,천안시 서북구,로망스모텔,충남 천안시 서북구 망향로 928-0,숙박,모텔,1485
423,충청남도,당진시,아리아모텔,충남 당진시 북부산업로 666-0,숙박,모텔,1484
423,충청남도,태안군,태안알로하오에애견풀빌라,충남 태안군 라암로 130-0,숙박,펜션/민박,1484
425,충청남도,보령시,호텔봄,충남 보령시 해수욕장10길 42-0,숙박,모텔,1482
426,충청남도,태안군,동작휴양소,충남 태안군 중신로 343-0,숙박,기타숙박,1481
427,충청남도,보령시,더대천스토리펜션,충남 보령시 해수욕장3길 11-21,숙박,펜션/민박,1474
428,충청남도,천안시 동남구,반딧불이키즈풀빌라,충남 천안시 동남구 만남의길 20-1,숙박,펜션/민박,1471
429,충청남도,보령시,아리아호텔,충남 보령시 한내로 78-13,숙박,모텔,1469
430,충청남도,태안군,몽산포오토캠핑장3구역,충남 태안군 몽산포길 63-65,숙박,캠핑,1465
431,충청남도,아산시,베르사체,충남 아산시 번영로69번길 21-0,숙박,모텔,1464
432,충청남도,보령시,W부띠끄호텔,충남 보령시 한내로 78-28,숙박,모텔,1460
433,충청남도,보령시,대천에스앤호텔,충남 보령시 개목수리섬길 155-35,숙박,호텔,1456
434,충청남도,천안시 동남구,캘리포니아,충남 천안시 동남구 신부2길 34-0,숙박,모텔,1453
434,충청남도,천안시 서북구,호텔사랑,충남 천안시 서북구 차돌들길 16-0,숙박,호텔,1453
436,충청남도,계룡시,호텔비바체,충남 계룡시 번영1길 6-17,숙박,호텔,1448
437,충청남도,논산시,꿈꾸는시계,충남 논산시 수락로443번길 49-0,숙박,펜션/민박,1446
438,충청남도,홍성군,테마모텔,충남 홍성군 조양로205번길 50-0,숙박,모텔,1445
438,충청남도,공주시,에스무인텔,충남 공주시 임금봉길 32-29,숙박,모텔,1445
440,충청남도,천안시 서북구,아늑료칸요수리구리호텔,충남 천안시 서북구 양지9길 8-0,숙박,모텔,1441
441,충청남도,홍성군,용봉산휴드림무인텔,충남 홍성군 용봉산3길 10-0,숙박,모텔,1440
442,충청남도,청양군,호텔칠갑산샬레,충남 청양군 한티고개길 57-0,숙박,호텔,1438
443,충청남도,아산시,캠프정감,충남 아산시 외암로 176-0,숙박,캠핑,1437
444,충청남도,아산시,호텔스파텔,충남 아산시 아산온천로243번길 27-0,숙박,호텔,1436
445,충청남도,서천군,솔바람캠핑장,충남 서천군 장항산단로34번길 48-44,숙박,캠핑,1432
446,충청남도,보령시,사창해수욕장야영장,충남 보령시,숙박,캠핑,1427
447,충청남도,서산시,노을빛바다캠핑장,충남 서산시,숙박,캠핑,1426
448,충청남도,태안군,파도와노을캠핑장,충남 태안군 아치내길 60-70,숙박,캠핑,1423
448,충청남도,태안군,그녀의바다펜션,충남 태안군 청포대길 57-36,숙박,펜션/민박,1423
450,충청남도,태안군,아라가온펜션,충남 태안군 라암로 914-69,숙박,펜션/민박,1422
450,충청남도,천안시 서북구,세븐블럭호텔,충남 천안시 서북구 성정공원7길 29-0,숙박,호텔,1422
452,충청남도,태안군,더쉼오토캠핑장,충남 태안군 안도내길 58-10,숙박,캠핑,1418
453,충청남도,홍성군,세울터,충남 홍성군 홍남서로362번길 46-0,숙박,캠핑,1414
454,충청남도,태안군,어은돌힐링캠핑장,충남 태안군 연들길 84-0,숙박,캠핑,1413
455,충청남도,당진시,스카이무인텔,충남 당진시 삽교천2길 11-8,숙박,모텔,1412
456,충청남도,공주시,계룡산의아침,충남 공주시 동학사2로 139-0,숙박,펜션/민박,1406
457,충청남도,태안군,안면도스쿨버스캠핑장,충남 태안군 안면대로 3356-0,숙박,캠핑,1403
458,충청남도,예산군,A플러스무인텔,충남 예산군 도청대로 863-13,숙박,모텔,1402
459,충청남도,보령시,제우스모텔,충남 보령시 터미널길 23-11,숙박,모텔,1401
460,충청남도,서산시,W모텔,충남 서산시 성연2로 46-11,숙박,모텔,1397
460,충청남도,태안군,베이브리즈가족호텔,충남 태안군 만리포2길 235-9,숙박,호텔,1397
462,충청남도,서산시,골든비지니스호텔,충남 서산시 충의로 1926-0,숙박,모텔,1396
463,충청남도,아산시,넘버25호텔아산터미널점,충남 아산시 번영로230번길 2-0,숙박,모텔,1394
464,충청남도,태안군,하늘과바다사이3단지,충남 태안군 신두해변길 121-0,숙박,펜션/민박,1393
465,충청남도,태안군,스테이인터뷰태안,충남 태안군 음포길 133-6,숙박,펜션/민박,1392
466,충청남도,태안군,모켄풀빌라,충남 태안군 곰섬로 129-81,숙박,펜션/민박,1391
467,충청남도,예산군,JJ무인텔,충남 예산군 덕산온천로 232-33,숙박,모텔,1390
468,충청남도,태안군,테마모텔,충남 태안군 후곡로 115-0,숙박,모텔,1389
469,충청남도,태안군,마리모펜션,충남 태안군 해안관광로 276-7,숙박,펜션/민박,1388
469,충청남도,보령시,베니키아호텔,충남 보령시 머드로 137-0,숙박,모텔,1388
471,충청남도,당진시,아크로모텔,충남 당진시 중동1길 32-5,숙박,모텔,1385
472,충청남도,당진시,왜목펜션빌,충남 당진시 석문해안로 33-6,숙박,펜션/민박,1381
473,충청남도,논산시,아르떼펜션,충남 논산시 금곡길 35-0,숙박,펜션/민박,1369
473,충청남도,당진시,블루호텔,충남 당진시 삽교천2길 11-25,숙박,모텔,1369
473,충청남도,태안군,캐리비안리조트,충남 태안군 드르니길 239-130,숙박,펜션/민박,1369
476,충청남도,천안시 동남구,무지개캠핑장,충남 천안시 동남구 문암로 224-0,숙박,캠핑,1366
477,충청남도,태안군,스테이21풀빌라,충남 태안군 사관로 576-358,숙박,펜션/민박,1363
478,충청남도,태안군,비비오네펜션,충남 태안군 청포대길 57-56,숙박,펜션/민박,1359
479,충청남도,태안군,해송모텔,충남 태안군 안면대로 1722-71,숙박,모텔,1356
480,충청남도,공주시,시드니모텔,충남 공주시 전막2길 10-9,숙박,모텔,1350
481,충청남도,서천군,호텔카멜리아,충남 서천군 춘장대길 67-0,숙박,호텔,1349
482,충청남도,보령시,로글리대천통나무펜션마을,충남 보령시 통나무마을1길 57-0,숙박,펜션/민박,1346
483,충청남도,공주시,버킹검모텔,충남 공주시 신관로 48-0,숙박,모텔,1344
483,충청남도,논산시,가야펜션,충남 논산시 탑정로 1075-11,숙박,펜션/민박,1344
483,충청남도,태안군,아이니펜션,충남 태안군 흑석동길 50-12,숙박,펜션/민박,1344
486,충청남도,아산시,파라다이스스파도고카라반캠핑장,충남 아산시 도고온천로 176-0,숙박,캠핑,1343
487,충청남도,예산군,가루실캠핑장,충남 예산군 가루실길 307-8,숙박,캠핑,1342
487,충청남도,예산군,디에이치리조트,충남 예산군 예당로 1133-0,숙박,콘도미니엄,1342
489,충청남도,공주시,계룡산1박2일펜션,충남 공주시 동학사1로 236-0,숙박,펜션/민박,1341
490,충청남도,태안군,바다여행파크,충남 태안군 옥파로 1059-16,숙박,펜션/민박,1340
491,충청남도,천안시 서북구,명품무인호텔J,충남 천안시 서북구 차돌들길 11-13,숙박,모텔,1339
492,충청남도,서천군,한일장여관,충남 서천군 충절로 117-0,숙박,모텔,1337
493,충청남도,태안군,풀빌라봄날,충남 태안군 진산1길 277-123,숙박,펜션/민박,1335
494,충청남도,보령시,갤럭시모텔,충남 보령시 머드로 7-0,숙박,모텔,1333
495,충청남도,서산시,라온무인호텔,충남 서산시 운암로 570-0,숙박,모텔,1329
495,충청남도,태안군,블루오션리조트,충남 태안군 몽산포길 161-0,숙박,펜션/민박,1329
497,충청남도,보령시,베니호텔,충남 보령시 머드로 137-0,숙박,모텔,1326
498,충청남도,예산군,정다운펜션,충남 예산군 온천단지1로 105-0,숙박,펜션/민박,1316
499,충청남도,천안시 동남구,몽키캠핑장,충남 천안시 동남구 삼방로 1163-1,숙박,캠핑,1313
500,충청남도,공주시,공주유스호스텔,충남 공주시 삼거리1길 8-1,숙박,호스텔,1312
